Season,Competition,Matchday,Venue,Club,Opponent,Result,Playing_Position,Minute,Type,Age
2015-16,LaLiga,13,H,FC Barcelona,Real Sociedad,04:00,RW,90+1,Left-footed shot,28
2015-16,UEFA Champions League,Group Stage,A,FC Barcelona,Bayer 04 Leverkusen,01:01,CF ,20,Right-footed shot,28
2015-16,LaLiga,15,H,FC Barcelona,Deportivo de La Coruaa,02:02,RW,39,Direct free kick,28
2015-16,FIFA Club World Cup,Final,A,FC Barcelona,CA River Plate,00:03,RW,36,Left-footed shot,28
2015-16,LaLiga,17,H,FC Barcelona,Real Betis Balompie,04:00,RW ,33,Right-footed shot,28
2015-16,Copa del Rey,Round of 16,H,FC Barcelona,RCD Espanyol Barcelona,04:01,RW,13,Left-footed shot,28
2015-16,Copa del Rey,Round of 16,H,FC Barcelona,RCD Espanyol Barcelona,04:01,RW,44,Direct free kick,28
2015-16,LaLiga,19,H,FC Barcelona,Granada CF,04:00,RW ,8,Left-footed shot,28
2015-16,LaLiga,19,H,FC Barcelona,Granada CF,04:00,RW ,14,Left-footed shot,28
2015-16,LaLiga,19,H,FC Barcelona,Granada CF,04:00,RW ,58,Tap-in,28
2015-16,LaLiga,20,H,FC Barcelona,Athletic Bilbao,06:00,RW,7,Penalty,28
2015-16,LaLiga,21,A,FC Barcelona,Malaga CF,01:02,RW,51,Left-footed shot,28
2015-16,LaLiga,22,H,FC Barcelona,Atletico de Madrid,02:01,RW,30,Left-footed shot,28
2015-16,Copa del Rey,Semi-Finals,H,FC Barcelona,Valencia CF,07:00,RW,29,Left-footed shot,28
2015-16,Copa del Rey,Semi-Finals,H,FC Barcelona,Valencia CF,07:00,RW,59,Left-footed shot,28
2015-16,Copa del Rey,Semi-Finals,H,FC Barcelona,Valencia CF,07:00,RW,74,Left-footed shot,28
2015-16,LaLiga,24,H,FC Barcelona,Celta de Vigo,06:01,RW,28,Direct free kick,28
2015-16,LaLiga,16,A,FC Barcelona,Sporting GijÃ³n,01:03,RW ,25,Left-footed shot,28
2015-16,LaLiga,16,A,FC Barcelona,Sporting GijÃ³n,01:03,RW ,31,Left-footed shot,28
2015-16,UEFA Champions League,Round of 16,A,FC Barcelona,Arsenal FC,00:02,RW,71,Left-footed shot,28
2015-16,UEFA Champions League,Round of 16,A,FC Barcelona,Arsenal FC,00:02,RW,83,Penalty,28
2015-16,LaLiga,26,H,FC Barcelona,Sevilla FC,02:01,RW ,31,Direct free kick,28
2015-16,LaLiga,27,A,FC Barcelona,Rayo Vallecano,01:05,RW,23,Left-footed shot,28
2015-16,LaLiga,27,A,FC Barcelona,Rayo Vallecano,01:05,RW,53,Left-footed shot,28
2015-16,LaLiga,27,A,FC Barcelona,Rayo Vallecano,01:05,RW,72,Left-footed shot,28
2015-16,LaLiga,28,A,FC Barcelona,SD Eibar,00:04,RW ,42,Left-footed shot,28
2015-16,LaLiga,28,A,FC Barcelona,SD Eibar,00:04,RW ,76,Penalty,28
2015-16,LaLiga,29,H,FC Barcelona,Getafe CF,06:00,CF,41,Left-footed shot,28
2015-16,UEFA Champions League,Round of 16,H,FC Barcelona,Arsenal FC,03:01,RW,86,Left-footed shot,28
2015-16,LaLiga,33,H,FC Barcelona,Valencia CF,01:02,RW,63,Left-footed shot,28
2015-16,LaLiga,34,A,FC Barcelona,Deportivo de La Coruaa,00:08,RW,73,Left-footed shot,28
2015-16,LaLiga,35,H,FC Barcelona,Sporting GijÃ³n,06:00,RW,13,Header,28
2015-16,LaLiga,37,H,FC Barcelona,RCD Espanyol Barcelona,05:00,RW,8,Direct free kick,28
2016-17,Supercopa,final,H,FC Barcelona,Sevilla FC,03:00,RW ,55,Header,29
2016-17,LaLiga,1,H,FC Barcelona,Real Betis Balompie,06:02,RW ,37,Left-footed shot,29
2016-17,LaLiga,1,H,FC Barcelona,Real Betis Balompie,06:02,RW ,58,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Celtic FC,07:00,RW ,3,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Celtic FC,07:00,RW ,27,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Celtic FC,07:00,RW ,60,Left-footed shot,29
2016-17,LaLiga,4,A,FC Barcelona,CD Leganes,01:05,RW,15,Left-footed shot,29
2016-17,LaLiga,4,A,FC Barcelona,CD Leganes,01:05,RW,55,Penalty,29
2016-17,LaLiga,8,H,FC Barcelona,Deportivo de La Coruaa,04:00,RW,58,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Manchester City,04:00,RW,17,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Manchester City,04:00,RW,61,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Manchester City,04:00,RW,69,Left-footed shot,29
2016-17,LaLiga,9,A,FC Barcelona,Valencia CF,02:03,RW,22,Left-footed shot,29
2016-17,LaLiga,9,A,FC Barcelona,Valencia CF,02:03,RW,90+4,Penalty,29
2016-17,UEFA Champions League,Group Stage,A,FC Barcelona,Manchester City,03:01,RW ,21,Left-footed shot,29
2016-17,LaLiga,11,A,FC Barcelona,Sevilla FC,01:02,RW ,43,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,00:02,RW ,24,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,A,FC Barcelona,Celtic FC,00:02,RW ,55,Penalty,29
2016-17,LaLiga,13,A,FC Barcelona,Real Sociedad,01:01,RW ,59,Left-footed shot,29
2016-17,UEFA Champions League,Group Stage,H,FC Barcelona,Borussia MÃ¶nchengladbach,04:00,RW,16,Left-footed shot,29
2016-17,LaLiga,15,A,FC Barcelona,CA Osasuna,00:03,RW,72,Left-footed shot,29
2016-17,LaLiga,15,A,FC Barcelona,CA Osasuna,00:03,RW,90+2,Left-footed shot,29
2016-17,LaLiga,16,H,FC Barcelona,RCD Espanyol Barcelona,04:01,RW,90,Left-footed shot,29
2016-17,Copa del Rey,Round of 16,A,FC Barcelona,Athletic Bilbao,02:01,RW,52,Direct free kick,29
2016-17,LaLiga,17,A,FC Barcelona,Villarreal CF,01:01,RW,90,Direct free kick,29
2016-17,Copa del Rey,Round of 16,H,FC Barcelona,Athletic Bilbao,03:01,RW,78,Direct free kick,29
2016-17,LaLiga,18,H,FC Barcelona,UD Las Palmas,05:00,RW ,52,Right-footed shot,29
2016-17,LaLiga,19,A,FC Barcelona,SD Eibar,00:04,RW ,50,Left-footed shot,29
2016-17,Copa del Rey,Quarter-Finals,H,FC Barcelona,Real Sociedad,05:02,RW ,55,Penalty,29
2016-17,Copa del Rey,Semi-Finals,A,FC Barcelona,Atletico de Madrid,01:02,RW ,33,Left-footed shot,29
2016-17,LaLiga,21,H,FC Barcelona,Athletic Bilbao,03:00,RW ,40,Direct free kick,29
2016-17,LaLiga,22,A,FC Barcelona,Deportivo Alaves,00:06,RW ,59,Left-footed shot,29
2016-17,LaLiga,23,H,FC Barcelona,CD Leganes,02:01,RW,4,Right-footed shot,29
2016-17,LaLiga,23,H,FC Barcelona,CD Leganes,02:01,RW,90,Penalty,29
2016-17,LaLiga,24,A,FC Barcelona,Atletico de Madrid,01:02,RW,86,Left-footed shot,29
2016-17,LaLiga,25,H,FC Barcelona,Sporting GijÃ³n,06:01,RW ,9,Header,29
2016-17,LaLiga,26,H,FC Barcelona,Celta de Vigo,05:00,AM ,24,Left-footed shot,29
2016-17,LaLiga,26,H,FC Barcelona,Celta de Vigo,05:00,AM ,64,Left-footed shot,29
2016-17,UEFA Champions League,Round of 16,H,FC Barcelona,Paris Saint-Germain,06:01,AM,50,Penalty,29
2016-17,LaLiga,28,H,FC Barcelona,Valencia CF,04:02,AM,45,Penalty,29
2016-17,LaLiga,28,H,FC Barcelona,Valencia CF,04:02,AM,53,Right-footed shot,29
2016-17,LaLiga,30,H,FC Barcelona,Sevilla FC,03:00,RW,28,Right-footed shot,29
2016-17,LaLiga,30,H,FC Barcelona,Sevilla FC,03:00,RW,33,Left-footed shot,29
2016-17,LaLiga,32,H,FC Barcelona,Real Sociedad,03:02,RW ,17,Left-footed shot,29
2016-17,LaLiga,32,H,FC Barcelona,Real Sociedad,03:02,RW ,37,Tap-in,29
2016-17,LaLiga,33,A,FC Barcelona,Real Madrid,02:03,RW,33,Left-footed shot,29
2016-17,LaLiga,33,A,FC Barcelona,Real Madrid,02:03,RW,90+2,Left-footed shot,29
2016-17,LaLiga,34,H,FC Barcelona,CA Osasuna,07:01,AM ,12,Left-footed shot,29
2016-17,LaLiga,34,H,FC Barcelona,CA Osasuna,07:01,AM ,61,Left-footed shot,29
2016-17,LaLiga,36,H,FC Barcelona,Villarreal CF,04:01,RW,45,Left-footed shot,29
2016-17,LaLiga,36,H,FC Barcelona,Villarreal CF,04:01,RW,82,Penalty,29
2016-17,LaLiga,38,H,FC Barcelona,SD Eibar,04:02,RW,75,Penalty,29
2016-17,LaLiga,38,H,FC Barcelona,SD Eibar,04:02,RW,90+2,Right-footed shot,29
2016-17,Copa del Rey,Final,H,FC Barcelona,Deportivo Alaves,03:01,RW,30,Left-footed shot,29
2017-18,Supercopa,final,H,FC Barcelona,Real Madrid,01:03,RW,77,Penalty,30
2017-18,LaLiga,2,A,FC Barcelona,Deportivo Alaves,00:02,CF,55,Left-footed shot,30
2017-18,LaLiga,2,A,FC Barcelona,Deportivo Alaves,00:02,CF,66,Left-footed shot,30
2017-18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,05:00,CF,26,Left-footed shot,30
2017-18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,05:00,CF,35,Right-footed shot,30
2017-18,LaLiga,3,H,FC Barcelona,RCD Espanyol Barcelona,05:00,CF,67,Left-footed shot,30
2017-18,UEFA Champions League,Group Stage,H,FC Barcelona,Juventus FC,03:00,CF,45,Left-footed shot,30
2017-18,UEFA Champions League,Group Stage,H,FC Barcelona,Juventus FC,03:00,CF,69,Left-footed shot,30
2017-18,LaLiga,5,H,FC Barcelona,SD Eibar,06:01,CF,21,Penalty,30
2017-18,LaLiga,5,H,FC Barcelona,SD Eibar,06:01,CF,59,Left-footed shot,30
2017-18,LaLiga,5,H,FC Barcelona,SD Eibar,06:01,CF,62,Left-footed shot,30
2017-18,LaLiga,5,H,FC Barcelona,SD Eibar,06:01,CF,87,Left-footed shot,30
2017-18,LaLiga,7,H,FC Barcelona,UD Las Palmas,03:00,SS,70,Left-footed shot,30
2017-18,LaLiga,7,H,FC Barcelona,UD Las Palmas,03:00,SS,77,Left-footed shot,30
2017-18,UEFA Champions League,Group Stage,H,FC Barcelona,Olympiacos Piraeus,03:01,CF,61,Direct free kick,30
2017-18,LaLiga,10,A,FC Barcelona,Athletic Bilbao,00:02,SS ,37,Left-footed shot,30
2017-18,LaLiga,14,H,FC Barcelona,Celta de Vigo,02:02,SS,22,Left-footed shot,30
2017-18,LaLiga,15,A,FC Barcelona,Villarreal CF,00:02,RW ,83,Left-footed shot,30
2017-18,LaLiga,17,A,FC Barcelona,Real Madrid,00:03,SS,64,Penalty,30
2017-18,LaLiga,18,H,FC Barcelona,Levante UD,03:00,SS,12,Left-footed shot,30
2017-18,Copa del Rey,Round of 16,H,FC Barcelona,Celta de Vigo,05:00,SS,13,Left-footed shot,30
2017-18,Copa del Rey,Round of 16,H,FC Barcelona,Celta de Vigo,05:00,SS,15,Left-footed shot,30
2017-18,LaLiga,19,A,FC Barcelona,Real Sociedad,02:04,SS ,85,Direct free kick,30
2017-18,LaLiga,20,A,FC Barcelona,Real Betis Balompie,00:05,SS ,64,Left-footed shot,30
2017-18,LaLiga,20,A,FC Barcelona,Real Betis Balompie,00:05,SS ,80,Left-footed shot,30
2017-18,Copa del Rey,Quarter-Finals,H,FC Barcelona,RCD Espanyol Barcelona,02:00,SS,25,Deflected shot on goal,30
2017-18,LaLiga,21,H,FC Barcelona,Deportivo Alaves,02:01,SS,84,Direct free kick,30
2017-18,UEFA Champions League,Round of 16,A,FC Barcelona,Chelsea FC,01:01,SS,75,Left-footed shot,30
2017-18,LaLiga,25,H,FC Barcelona,Girona FC,06:01,SS ,30,Left-footed shot,30
2017-18,LaLiga,25,H,FC Barcelona,Girona FC,06:01,SS ,36,Direct free kick,30
2017-18,LaLiga,26,A,FC Barcelona,UD Las Palmas,01:01,SS,21,Direct free kick,30
2017-18,LaLiga,27,H,FC Barcelona,Atletico de Madrid,01:00,SS,26,Direct free kick,30
2017-18,UEFA Champions League,Round of 16,H,FC Barcelona,Chelsea FC,03:00,SS,3,Right-footed shot,30
2017-18,UEFA Champions League,Round of 16,H,FC Barcelona,Chelsea FC,03:00,SS,63,Left-footed shot,30
2017-18,LaLiga,29,H,FC Barcelona,Athletic Bilbao,02:00,SS ,30,Left-footed shot,30
2017-18,LaLiga,30,A,FC Barcelona,Sevilla FC,02:02,RW,89,Left-footed shot,30
2017-18,LaLiga,31,H,FC Barcelona,CD Leganes,03:01,SS ,27,Direct free kick,30
2017-18,LaLiga,31,H,FC Barcelona,CD Leganes,03:01,SS ,32,Left-footed shot,30
2017-18,LaLiga,31,H,FC Barcelona,CD Leganes,03:01,SS ,87,Left-footed shot,30
2017-18,Copa del Rey,Final,A,FC Barcelona,Sevilla FC,00:05,SS,31,Left-footed shot,30
2017-18,LaLiga,35,A,FC Barcelona,Deportivo de La Coruaa,02:04,CF ,38,Left-footed shot,30
2017-18,LaLiga,35,A,FC Barcelona,Deportivo de La Coruaa,02:04,CF ,82,Right-footed shot,30
2017-18,LaLiga,35,A,FC Barcelona,Deportivo de La Coruaa,02:04,CF ,85,Left-footed shot,30
2017-18,LaLiga,36,H,FC Barcelona,Real Madrid,02:02,SS,52,Left-footed shot,30
2017-18,LaLiga,34,H,FC Barcelona,Villarreal CF,05:01,CF,45,Left-footed shot,30
2018-19,LaLiga,1,H,FC Barcelona,Deportivo Alaves,03:00,RW ,64,Direct free kick,31
2018-19,LaLiga,1,H,FC Barcelona,Deportivo Alaves,03:00,RW ,90+2,Left-footed shot,31
2018-19,LaLiga,3,H,FC Barcelona,SD Huesca,08:02,RW ,16,Right-footed shot,31
2018-19,LaLiga,3,H,FC Barcelona,SD Huesca,08:02,RW ,61,Left-footed shot,31
2018-19,UEFA Champions League,Group Stage,H,FC Barcelona,PSV Eindhoven,04:00,RW ,31,Direct free kick,31
2018-19,UEFA Champions League,Group Stage,H,FC Barcelona,PSV Eindhoven,04:00,RW ,77,Left-footed shot,31
2018-19,UEFA Champions League,Group Stage,H,FC Barcelona,PSV Eindhoven,04:00,RW ,87,Right-footed shot,31
2018-19,LaLiga,5,H,FC Barcelona,Girona FC,02:02,RW ,19,Left-footed shot,31
2018-19,UEFA Champions League,Group Stage,A,FC Barcelona,Tottenham Hotspur,02:04,RW ,56,Left-footed shot,31
2018-19,UEFA Champions League,Group Stage,A,FC Barcelona,Tottenham Hotspur,02:04,RW ,90,Left-footed shot,31
2018-19,LaLiga,8,A,FC Barcelona,Valencia CF,01:01,RW ,23,Left-footed shot,31
2018-19,LaLiga,9,H,FC Barcelona,Sevilla FC,04:02,RW ,12,Left-footed shot,31
2018-19,LaLiga,12,H,FC Barcelona,Real Betis Balompie,03:04,SS ,68,Penalty,31
2018-19,LaLiga,12,H,FC Barcelona,Real Betis Balompie,03:04,SS ,90+4,Left-footed shot,31
2018-19,UEFA Champions League,Group Stage,A,FC Barcelona,PSV Eindhoven,01:02,CF ,61,Left-footed shot,31
2018-19,LaLiga,15,A,FC Barcelona,RCD Espanyol Barcelona,00:04,RW ,17,Direct free kick,31
2018-19,LaLiga,15,A,FC Barcelona,RCD Espanyol Barcelona,00:04,RW ,65,Direct free kick,31
2018-19,LaLiga,16,A,FC Barcelona,Levante UD,00:05,SS ,43,Right-footed shot,31
2018-19,LaLiga,16,A,FC Barcelona,Levante UD,00:05,SS ,47,Left-footed shot,31
2018-19,LaLiga,16,A,FC Barcelona,Levante UD,00:05,SS ,60,Left-footed shot,31
2018-19,LaLiga,17,H,FC Barcelona,Celta de Vigo,02:00,RW ,45,Left-footed shot,31
2018-19,LaLiga,18,A,FC Barcelona,Getafe CF,01:02,RW ,20,Left-footed shot,31
2018-19,LaLiga,19,H,FC Barcelona,SD Eibar,03:00,RW ,53,Left-footed shot,31
2018-19,Copa del Rey,Round of 16,H,FC Barcelona,Levante UD,03:00,CF ,54,Left-footed shot,31
2018-19,LaLiga,20,H,FC Barcelona,CD Leganes,03:01,SS,90+2,Right-footed shot,31
2018-19,LaLiga,21,A,FC Barcelona,Girona FC,00:02,RW ,69,Left-footed shot,31
2018-19,Copa del Rey,Quarter-Finals,H,FC Barcelona,Sevilla FC,06:01,RW ,90+2,Left-footed shot,31
2018-19,LaLiga,22,H,FC Barcelona,Valencia CF,02:02,RW ,39,Penalty,31
2018-19,LaLiga,22,H,FC Barcelona,Valencia CF,02:02,RW ,64,Left-footed shot,31
2018-19,LaLiga,24,H,FC Barcelona,Real Valladolid CF,01:00,RW ,43,Penalty,31
2018-19,LaLiga,25,A,FC Barcelona,Sevilla FC,02:04,RW ,26,Left-footed shot,31
2018-19,LaLiga,25,A,FC Barcelona,Sevilla FC,02:04,RW ,67,Right-footed shot,31
2018-19,LaLiga,25,A,FC Barcelona,Sevilla FC,02:04,RW ,85,Left-footed shot,31
2018-19,LaLiga,27,H,FC Barcelona,Rayo Vallecano,03:01,RW ,51,Penalty,31
2018-19,UEFA Champions League,Round of 16,H,FC Barcelona,Olympique Lyon,05:01,RW ,18,Penalty,31
2018-19,UEFA Champions League,Round of 16,H,FC Barcelona,Olympique Lyon,05:01,RW ,78,Right-footed shot,31
2018-19,LaLiga,28,A,FC Barcelona,Real Betis Balompie,01:04,SS ,18,Direct free kick,31
2018-19,LaLiga,28,A,FC Barcelona,Real Betis Balompie,01:04,SS ,45+2,Left-footed shot,31
2018-19,LaLiga,28,A,FC Barcelona,Real Betis Balompie,01:04,SS ,85,Left-footed shot,31
2018-19,LaLiga,29,H,FC Barcelona,RCD Espanyol Barcelona,02:00,RW ,71,Direct free kick,31
2018-19,LaLiga,29,H,FC Barcelona,RCD Espanyol Barcelona,02:00,RW ,89,Left-footed shot,31
2018-19,LaLiga,30,A,FC Barcelona,Villarreal CF,04:04,RW,90,Direct free kick,31
2018-19,LaLiga,31,H,FC Barcelona,Atletico de Madrid,02:00,SS ,87,Left-footed shot,31
2018-19,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Manchester United,03:00,RW ,16,Left-footed shot,31
2018-19,UEFA Champions League,Quarter-Finals,H,FC Barcelona,Manchester United,03:00,RW ,20,Right-footed shot,31
2018-19,LaLiga,35,H,FC Barcelona,Levante UD,01:00,RW,62,Left-footed shot,31
2018-19,UEFA Champions League,Semi-Finals,H,FC Barcelona,Liverpool FC,03:00,RW ,75,Left-footed shot,31
2018-19,UEFA Champions League,Semi-Finals,H,FC Barcelona,Liverpool FC,03:00,RW ,82,Direct free kick,31
2018-19,LaLiga,38,A,FC Barcelona,SD Eibar,02:02,CF ,31,Left-footed shot,31
2018-19,LaLiga,38,A,FC Barcelona,SD Eibar,02:02,CF ,32,Left-footed shot,31
2018-19,Copa del Rey,Final,H,FC Barcelona,Valencia CF,01:02,CF ,73,Left-footed shot,31
2019-20,LaLiga,8,H,FC Barcelona,Sevilla FC,04:00,RW ,78,Direct free kick,32
2019-20,LaLiga,9,A,FC Barcelona,SD Eibar,00:03,RW ,58,Left-footed shot,32
2019-20,UEFA Champions League,Group Stage,A,FC Barcelona,SK Slavia Prague,01:02,RW ,3,Left-footed shot,32
2019-20,LaLiga,11,H,FC Barcelona,Real Valladolid CF,05:01,RW ,34,Direct free kick,32
2019-20,LaLiga,11,H,FC Barcelona,Real Valladolid CF,05:01,RW ,75,Left-footed shot,32
2019-20,LaLiga,12,A,FC Barcelona,Levante UD,03:01,RW ,38,Penalty,32
2019-20,LaLiga,13,H,FC Barcelona,Celta de Vigo,04:01,RW ,23,Penalty,32
2019-20,LaLiga,13,H,FC Barcelona,Celta de Vigo,04:01,RW ,45+1,Direct free kick,32
2019-20,LaLiga,13,H,FC Barcelona,Celta de Vigo,04:01,RW ,48,Direct free kick,32
2019-20,UEFA Champions League,Group Stage,H,FC Barcelona,Borussia Dortmund,03:01,RW ,33,Left-footed shot,32
2019-20,LaLiga,15,A,FC Barcelona,Atletico de Madrid,00:01,RW ,86,Left-footed shot,32
2019-20,LaLiga,16,H,FC Barcelona,RCD Mallorca,05:02,RW ,17,Left-footed shot,32
2019-20,LaLiga,16,H,FC Barcelona,RCD Mallorca,05:02,RW ,41,Left-footed shot,32
2019-20,LaLiga,16,H,FC Barcelona,RCD Mallorca,05:02,RW ,83,Left-footed shot,32
2019-20,LaLiga,18,H,FC Barcelona,Deportivo Alaves,04:01,RW ,69,Left-footed shot,32
2019-20,Supercopa,Semi-Finals,H,FC Barcelona,Atletico de Madrid,02:03,RW ,51,Right-footed shot,32
2019-20,LaLiga,20,H,FC Barcelona,Granada CF,01:00,CF ,76,Right-footed shot,32
2019-20,Copa del Rey,Round of 16,H,FC Barcelona,CD Leganes,05:00,RW ,59,Left-footed shot,32
2019-20,Copa del Rey,Round of 16,H,FC Barcelona,CD Leganes,05:00,RW ,89,Left-footed shot,32
2019-20,LaLiga,25,H,FC Barcelona,SD Eibar,05:00,SS ,14,Left-footed shot,32
2019-20,LaLiga,25,H,FC Barcelona,SD Eibar,05:00,SS ,37,Left-footed shot,32
2019-20,LaLiga,25,H,FC Barcelona,SD Eibar,05:00,SS ,40,Left-footed shot,32
2019-20,LaLiga,25,H,FC Barcelona,SD Eibar,05:00,SS ,87,Left-footed shot,32
2019-20,LaLiga,27,H,FC Barcelona,Real Sociedad,01:00,CF ,81,Penalty,32
2019-20,LaLiga,28,A,FC Barcelona,RCD Mallorca,00:04,RW ,90+3,Right-footed shot,32
2019-20,LaLiga,29,H,FC Barcelona,CD Leganes,02:00,RW ,69,Penalty,32
2019-20,LaLiga,33,H,FC Barcelona,Atletico de Madrid,02:02,SS ,50,Penalty,32
2019-20,LaLiga,37,H,FC Barcelona,CA Osasuna,01:02,RW ,62,Direct free kick,32
2019-20,LaLiga,38,A,FC Barcelona,Deportivo Alaves,00:05,RW ,34,Left-footed shot,32
2019-20,LaLiga,38,A,FC Barcelona,Deportivo Alaves,00:05,RW ,75,Left-footed shot,32
2019-20,UEFA Champions League,Round of 16,H,FC Barcelona,SSC Napoli,03:01,SS ,23,Left-footed shot,32
2020-21,LaLiga,3,H,FC Barcelona,Villarreal CF,04:00,CF ,35,Penalty,33
2020-21,UEFA Champions League,Group Stage,H,FC Barcelona,Ferencvarosi TC,05:01,CF ,27,Penalty,33
2020-21,UEFA Champions League,Group Stage,A,FC Barcelona,Juventus FC,00:02,CF ,90+1,Penalty,33
2020-21,UEFA Champions League,Group Stage,H,FC Barcelona,Dynamo Kyiv,02:01,RW ,5,Penalty,33
2020-21,LaLiga,9,H,FC Barcelona,Real Betis Balompie,05:02,CF,61,Penalty,33
2020-21,LaLiga,9,H,FC Barcelona,Real Betis Balompie,05:02,CF,82,Left-footed shot,33
2020-21,LaLiga,11,H,FC Barcelona,CA Osasuna,04:00,RW ,73,Left-footed shot,33
2020-21,LaLiga,13,H,FC Barcelona,Levante UD,01:00,CF ,76,Left-footed shot,33
2020-21,LaLiga,14,H,FC Barcelona,Valencia CF,02:02,CF ,45+4,Header,33
2020-21,LaLiga,15,A,FC Barcelona,Real Valladolid CF,00:03,AM ,65,Left-footed shot,33
2020-21,LaLiga,2,A,FC Barcelona,Athletic Bilbao,02:03,CF ,38,Left-footed shot,33
2020-21,LaLiga,2,A,FC Barcelona,Athletic Bilbao,02:03,CF ,62,Left-footed shot,33
2020-21,LaLiga,18,A,FC Barcelona,Granada CF,00:04,CF ,35,Left-footed shot,33
2020-21,LaLiga,18,A,FC Barcelona,Granada CF,00:04,CF ,42,Direct free kick,33
2020-21,Copa del Rey,Round of 16,A,FC Barcelona,Rayo Vallecano,01:02,CF ,69,Left-footed shot,33
2020-21,LaLiga,21,H,FC Barcelona,Athletic Bilbao,02:01,CF ,20,Direct free kick,33
2020-21,LaLiga,22,A,FC Barcelona,Real Betis Balompie,02:03,CF,59,Left-footed shot,33
2020-21,LaLiga,23,H,FC Barcelona,Deportivo Alaves,05:01,CF ,45+1,Left-footed shot,33
2020-21,LaLiga,23,H,FC Barcelona,Deportivo Alaves,05:01,CF ,75,Left-footed shot,33
2020-21,UEFA Champions League,Round of 16,H,FC Barcelona,Paris Saint-Germain,01:04,CF ,27,Penalty,33
2020-21,LaLiga,24,H,FC Barcelona,Cadiz CF,01:01,CF ,32,Penalty,33
2020-21,LaLiga,1,H,FC Barcelona,Elche CF,03:00,CF ,48,Left-footed shot,33
2020-21,LaLiga,1,H,FC Barcelona,Elche CF,03:00,CF ,68,Left-footed shot,33
2020-21,LaLiga,25,A,FC Barcelona,Sevilla FC,00:02,CF ,85,Right-footed shot,33
2020-21,UEFA Champions League,Round of 16,A,FC Barcelona,Paris Saint-Germain,01:01,SS ,37,Long distance kick,33
2020-21,LaLiga,27,H,FC Barcelona,SD Huesca,04:01,SS ,13,Left-footed shot,33
2020-21,LaLiga,27,H,FC Barcelona,SD Huesca,04:01,SS ,90,Left-footed shot,33
2020-21,LaLiga,28,A,FC Barcelona,Real Sociedad,01:06,SS ,56,Left-footed shot,33
2020-21,LaLiga,28,A,FC Barcelona,Real Sociedad,01:06,SS ,89,Left-footed shot,33
2020-21,Copa del Rey,Final,A,FC Barcelona,Athletic Bilbao,00:04,CF ,68,Left-footed shot,33
2020-21,Copa del Rey,Final,A,FC Barcelona,Athletic Bilbao,00:04,CF ,72,Left-footed shot,33
2020-21,LaLiga,31,H,FC Barcelona,Getafe CF,05:02,CF ,8,Left-footed shot,33
2020-21,LaLiga,31,H,FC Barcelona,Getafe CF,05:02,CF ,33,Left-footed shot,33
2020-21,LaLiga,33,H,FC Barcelona,Granada CF,01:02,CF ,23,Left-footed shot,33
2020-21,LaLiga,34,A,FC Barcelona,Valencia CF,02:03,CF ,57,Left-footed shot,33
2020-21,LaLiga,34,A,FC Barcelona,Valencia CF,02:03,CF ,69,Direct free kick,33
2020-21,LaLiga,36,A,FC Barcelona,Levante UD,03:03,SS ,25,Left-footed shot,33
2020-21,LaLiga,37,H,FC Barcelona,Celta de Vigo,01:02,SS ,28,Header,33
2021-22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Manchester City,02:00,RW,74,Left-footed shot,34
2021-22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,RB Leipzig,03:02,RW,67,Left-footed shot,34
2021-22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,RB Leipzig,03:02,RW,74,Penalty,34
2021-22,Ligue 1,14,H,Paris Saint-Germain,FC Nantes,03:01,RW,87,Left-footed shot,34
2021-22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Club Brugge KV,04:01,CF,38,Left-footed shot,34
2021-22,UEFA Champions League,Group Stage,H,Paris Saint-Germain,Club Brugge KV,04:01,CF,76,Penalty,34
2021-22,Ligue 1,23,A,Paris Saint-Germain,LOSC Lille,01:05,CF,38,Left-footed shot,34
2021-22,Ligue 1,30,H,Paris Saint-Germain,FC Lorient,05:01,RW,73,Left-footed shot,34
2021-22,Ligue 1,34,H,Paris Saint-Germain,RC Lens,01:01,RW,68,Left-footed shot,34
2021-22,Ligue 1,37,A,Paris Saint-Germain,Montpellier,00:04,CF,6,Left-footed shot,34
2021-22,Ligue 1,37,A,Paris Saint-Germain,Montpellier,00:04,CF,20,Left-footed shot,34
2022-23,Trophee des Champions,Final,H,Paris Saint-Germain,FC Nantes,04:00,CF,22,Right-footed shot,35
